video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"7ka7gLIJwTU","Manchester United 0:1 FC Bayern | Highlights - Champions League","2023-12-12T22:16:54Z","UCK2izXoHvraUFaPMU5B7vMQ","Prime Video Sport Deutschland","17","23.14.12","Amazon|Amazon Prime Sport|Amazon Champions League|Champions League|Amazon Prime Video|Amazon Prime Video Sport|Fußball|UEFA Champions League|UCL|CL|PrimeUCL|#UCLbeiPrime|Champions League 23/24|Champions League Highlights|Fußball Highlights|Highlights CL|Champions League Amazon|Amazon Highlights|APVS|PV|Prime Video|Prime Video CL|Prime Video Champions League|UCL Highlights|Highlights|Manchester United|FC Bayern|MNU|FCB|BAY|Coman","796445","9127","0","888","https://i.ytimg.com/vi/7ka7gLIJwTU/default.jpg","False","False","Viel Spaß mit den Highlights des Spiels Manchester United gegen FC Bayern am 6. Spieltag der Champions League 23/24 bei Prime Video!Tore: 0:1 Coman (71.)Alle Highlights und Analysen gibt es jetzt bei Prime Video!--Nichts mehr verpassen!🔹 Amazon Prime Video - https://amazon.de/championsleague🔹 Instagram - http://instagram.com/primevideosportde🔹 TikTok - http://tiktok.com/@primevideosportde"
"W40REQBKK3g","Unleash The Force of Nature With Town Hall 16! Clash of Clans Animation","2023-12-13T13:00:24Z","UCD1Em4q90ZUK2R5HKesszJg","Clash of Clans","20","23.14.12","clash of clans|COC|Clash of Clans Gameplay|Clash of Clans Strategy|Clash of Clans Animation|Clash of Clans Commercial|Clash of Clans Attacks|Clash of Clans Town Hall|Hog Rider|PEKKA|Clan Wars|season challenges|clan war leagues|clash on|clan game|clan games|clash-a-rama|clasharama|root rider|town hall 16|th16|clash of clans new update|coc animation","3096795","103251","0","3603","https://i.ytimg.com/vi/W40REQBKK3g/default.jpg","False","False","Deliver untold destruction with the new Hero Equipment, a brand new way to customize your Heroes' abilities. Storm your enemies' bastions with Root Rider, a new Troop who demolishes Walls, but don't overlook Spirit Fox. This secretive new Hero Pet renders your Heroes invisible. Nature has never been so devastating!Follow us on our Socials!Twitter ► https://twitter.com/ClashofClans/Instagram ► https://www.instagram.com/clashofclans Facebook ► https://www.facebook.com/ClashofClans TikTok ► https://www.tiktok.com/@clashofclansAttack. Defend. Strategize. Download for free for mobile devices. http://supr.cl/ThisArmyFrom rage-­filled Barbarians with glorious mustaches to pyromaniac wizards, raise your own army and lead your clan to victory! Build your village to fend off raiders, battle against millions of players worldwide, and forge a powerful clan with others to destroy enemy clans.PLEASE NOTE! Clash of Clans is free to download and play, however some game items can also be purchased for real money Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash of Clans.A network connection is also required.FEATURES- Build your village into an unbeatable fortress - Raise your own army of Barbarians, Archers, Hog Riders, Wizards, Dragons and other mighty fighters- Battle with players worldwide and take their Trophies- Join together with other players to form the ultimate Clan- Fight against rival Clans in epic Clan Wars - Build 18 unique units with multiple levels of upgrades- Discover your favorite attacking army from countless combinations of troops, spells, Heroes and Clan reinforcements - Defend your village with a multitude of Cannons, Towers, Mortars, Bombs, Traps and Walls- Fight against the Goblin King in a campaign through the realmChief, are you having problems? Visit https://help.supercellsupport.com/clash-of-clans/en/Privacy Policy:https://supercell.com/en/privacy-policy/Terms of Service:https://supercell.com/en/terms-of-service/Parent’s Guide:https://supercell.com/en/parents/#clashofclans #townhall16 #th16"
"vjTC2gCMtqM","Süle mit der Mutter aller RETTUNGSTATEN 🚧","2023-12-13T21:53:03Z","UC-xsrwf4kG4b_SZDiKIhZqw","DAZN_DE","24","23.14.12","DAZN|DAZN DE|niklas süle bvb|süle bvb psg|süle save psg|süle rettungstat psg|borussia dortmund psg|borussia dortmund paris saint germain highlights|niklas süle best of|süle highlights|niklas süle borussia dortmund|borussia dortmund psg 2023|niklas süle meme|niklas süle compilation|dortmund paris champions league|borussia dortmund psg ucl|niklas süle ucl|süle champions league|niklas süle kylian mbappe|sule mbappe","126991","1670","0","229","https://i.ytimg.com/vi/vjTC2gCMtqM/default.jpg","False","False","Der BVB stand bereits vor dem letzten #UCL-Gruppenspieltag gegen PSG im Achtelfinale. An der Einsatzbereitschaft von Niklas Süle änderte das nichts - ganz im Gegenteil. Der Innenverteidiger brachte Kylian Mbappe mit einer Wahninns-Rettungstat zur Verzweiflung. #DAZNmoment▶ DAZN_DE abonnieren https://bit.ly/DAZNDEsub▶ Das läuft heute auf DAZN https://www.dazn.com/de-DE/welcome/▶ Schaue ausgewählte Spiele der UEFA Women's Champions League kostenlos hier https://bit.ly/UEFAWCL Hier findest du uns auch:▶ Twitter:  https://twitter.com/dazn_de▶ Instagram: https://www.instagram.com/dazn_de/▶ Facebook: https://www.facebook.com/DAZNDE/▶ TikTok: https://www.tiktok.com/@dazn_de"
"EwUhRDzH2Jw","MontanaBlacks Besuch im Big Brother Container | Big Brother Knossi Edition","2023-12-13T13:49:40Z","UCrRPVZdVuv0Rnkpa8FGUk6g","Big Brother Deutschland","24","23.14.12","Big Brother|Knossi|Jens Knossalla|Big Brother Knossi Edition|Container|großer Bruder|Streamer|Twitch|YouTube|Gast|Bewohner|Challenge|Einzug|erster Tag|Beginn|Anfang|Jenga|Spiel|Marc Eggers|Fritz Meinecke|Tanzverbot|Quietlola|Skyline TV|Starletnova|Manny Marc|Affe auf Bike|Joey Kelly","427177","6778","0","334","https://i.ytimg.com/vi/EwUhRDzH2Jw/default.jpg","False","False","Alle Bewohner:innen sind im Container und es wurde Zeit für den ersten Tagesgast und es ist niemand geringeres als...Trommelwirbel...Montanablack.     Zum Livestream: https://www.twitch.tv/therealknossi    Noch mehr Big Brother:  *Instagram: https://www.instagram.com/bigbrotherdeutschland  *TikTok: https://www.tiktok.com/big.brother.deutschland  *Facebook: https://www.facebook.com/bigbrothergermanZusammenfassung von Tag 1 jetzt auch auf Joyn: https://www.joyn.de/play/serien/big-brother-knossi-edition/1-1-zusammenfassung-tag-1?from=%2F"
"n2CWe0_rGoY","Ich habe diesen Dummkopf herausgefordert in Fortnite Bingo...","2023-12-13T17:00:42Z","UCxdaFKaMlRHtVkBeGygsYTw","Papaplatte Gaming","20","23.14.12","papaplatte gaming|papaplatte games|papaplatte lets play|papalatte gaming|gaming channel papaplatte|gaming papaplatte|lets play|gaming deutsch|twitch highlights|twitch gaming|twitch games|livestreamer","158829","13119","0","175","https://i.ytimg.com/vi/n2CWe0_rGoY/default.jpg","False","False","Sei live mit dabei: https://twitch.tv/papaplatteTwitter: https://twitter.com/papaplatte  Instagram: https://instagram.com/papaplatte  Unser Podcast auf Spotify: https://spoti.fi/2SrXQceUnser Podcast auf iTunes: https://apple.co/2zFsZlj Papaplatte Stream Highlights:https://bit.ly/2vFUKYb"
"_inKs4eeHiI","KUNG FU PANDA 4 | Official Trailer","2023-12-13T15:43:38Z","UCq0OueAsdxH6b8nyAspwViw","Universal Pictures","24","23.14.12","[none]","8602147","435650","0","0","https://i.ytimg.com/vi/_inKs4eeHiI/default.jpg","False","False","Kung Fu Panda 4 - In Theaters March 8This spring, for the first time in almost a decade, comedy icon Jack Black returns to his role as Po, the world’s most unlikely kung fu master, with a hilarious, butt-kicking new chapter in DreamWorks Animation’s beloved action-comedy franchise: Kung Fu Panda 4. After three death-defying adventures defeating world-class villains with his unmatched courage and mad martial arts skills, Po, the Dragon Warrior (Golden Globe nominee Jack Black), is called upon by destiny to … give it a rest already. More specifically, he’s tapped to become the Spiritual Leader of the Valley of Peace.That poses a couple of obvious problems. First, Po knows as much about spiritual leadership as he does about the paleo diet, and second, he needs to quickly find and train a new Dragon Warrior before he can assume his new lofty position. Even worse, there’s been a recent sighting of a wicked, powerful sorceress, Chameleon (Oscar® winner Viola Davis), a tiny lizard who can shapeshift into any creature, large or small. And Chameleon has her greedy, beady little eyes on Po’s Staff of Wisdom, which would give her the power to re-summon all the master villains whom Po has vanquished to the spirit realm. So, Po’s going to need some help. He finds it (kinda?) in the form of crafty, quick-witted thief Zhen (Golden Globe winner Awkwafina), a corsac fox who really gets under Po’s fur but whose skills will prove invaluable. In their quest to protect the Valley of Peace from Chameleon’s reptilian claws, this comedic odd-couple duo will have to work together. In the process, Po will discover that heroes can be found in the most unexpected places. The film features the voice talent of returning stars Academy Award® winner Dustin Hoffman as Kung Fu master, Shifu; James Hong (Everything Everywhere All at Once) as Po’s adoptive father, Mr. Ping; Academy Award® nominee Bryan Cranston as Po’s birth father, Li, and Emmy Award nominee Ian McShane as Tai Lung, Shifu’s former student and arch-nemesis. Oscar® winner Ke Huy Quan (Everything Everywhere All at Once) joins the ensemble as a new character, Han, the leader of the Den of Thieves.  Kung Fu Panda 4 is directed by Mike Mitchell (DreamWorks Animation’s Trolls, Shrek Forever After) and produced by Rebecca Huntley (DreamWorks Animation’s The Bad Guys). The film’s co-director is Stephanie Ma Stine (She-Ra and the Princesses of Power). In 2008, the Academy Award®-nominated 2008 inaugural chapter, Kung Fu Panda, became DreamWorks Animation’s highest-grossing original animated film and launched a franchise that has earned more than $1.8 billion at the global box-office.Social Handles:Facebook: www.facebook.com/kungfupanda Twitter: https://twitter.com/dreamworks Instagram: https://www.instagram.com/kungfupanda TikTok: https://www.tiktok.com/@dreamworks Website: https://www.kungfupanda.com#KungFuPanda"
"Sw8BSZanCk4","EuG Urteil: Bluebrixx verliert, LEGO verliert... ich gewinne! Und ihr auch!","2023-12-13T18:44:42Z","UCERQK9uhCLXg2xHqar1afCw","Johnny's World","24","23.14.12","lego vs bluebrixx|bluebrixx vs lego|bluebrixx euipo|bluebrixx 3D Marke|Bluebrixx EuG Urteil|bluebrixx lego urteil|EuG Urteil: Bluebrixx verliert|LEGO verliert... ich gewinne! Und ihr auch!|lego urteil|lego bluebrixx urteil|lego news|bluebrixx news 2023","83922","5167","0","702","https://i.ytimg.com/vi/Sw8BSZanCk4/default.jpg","False","False","Der Streit um die LEGO Minifigur als 3D Marke geht ja schon seit einigen Jahren und Bluebrixx hat seinerzeit ein Nichtigkeitsverfahren zur Löschung der 3D Marke beim EUIPO angestossen. Nachdem die Beschwerdekammer des EUIPO das Nichtigkeitsverfahren zugunsten von LEGO angeschmettert hatte hat Bluebrixx das EUIPO vor dem EuG (Europäisches Gericht) verklagt um am 06.12.2023 ist nun endlich das Urteil dazu verkündet worden und...Bluebrixx hat verloren! LEGO aber irgendwie auch... und ich, ja wir alle. WIr haben eine Menge gewonnen. Aber seht selbst:Auch ganz WICHTIG!Matthias von der Baustein-Ecke hat sich mit dem Verein Bausteinkreis entschlossen fragwürdige Lego-Designs prüfen zu lassen und ruft in seinem aktuellen VIdeo zur Mithilfe der Community auf. https://youtu.be/7x_irZA_jTI?si=mPQHF5MeT5RcVcMKIch bin dem Verein Bausteinkreis beigetreten, soviel ist mal klar. Rechtsklarheit und Rechtssicherheit sind dringend nötig um den Klemmbaustein-Markt zukunftsfähig zu gestallten, das ist im Interesse aller Beteiligten, Hersteller, Händler und Kunden.Hier gehts zum EuG Urteil in der Sache Bluebrixx vs EUIPO (mit Streithelferin LEGO Juris A/S) https://curia.europa.eu/juris/document/document.jsf?text&docid=280404&pageIndex=0&doclang=de&mode=req&dir&occ=first&part=1&cid=286658HIer gehts zu dem Urteil LEGO Vs Best Lock von 2015https://curia.europa.eu/juris/document/document.jsf?text=&docid=165046&pageIndex=0&doclang=EN&mode=lst&dir=&occ=first&part=1&cid=1198190Ab hier nur noch BÖSE BÖSE WerbungHier geht´s zum  KIDDICRAFT Store wo ihr euch die kommende Kollektion schon mal anschauen könnt.https://www.kiddicraft.storeKiddicraft KC1106 Ponyhof findet ihr hier:https://kiddicraft.store/Kiddicraft-KC1106-PonyhofDen kleinen grauen Trecker findet ihr hier:https://kiddicraft.store/Kiddicraft-KC1109-Kleiner-Trecker-mit-AnhaengerHier gibts den Helden und Johnny im Kiddiz Pack:https://kiddicraft.store/Kiddicraft-KC1406-KIDDIZ-Figuren-Pack-Held-der-Steine-Johnnys-WorldDie Lecker Currywurst -Tassen oder das Kiddicraft Patent T-Shirt und noch vieles mehr an coolen Johnny Merch gibts in Johnny´s Shop: https://johnnys-shop.de Hier gehts zu den Kiddicraft Baseplates:https://steingemachtes.de/KiddicraftLust auf Klemmbausteine bekommen? Dann schaut doch mal bei Steingemachtes rein: https://www.steingemachtes.de Schaut auch gerne mal in meinem Amazon Shop* vorbei. Da hab ich mal son paar Teile für euch zusammengestellt. T-Shirts, meine LieblingsRum und Whisky Sorten, meine Filmausrüstung und ne Menge anderen Krams den keiner braucht! http://www.amazon.de/shop/johnnysworld Die Idefix Figur im Hintergrund*: (wurde mehrfach nach gefragt) https://amzn.to/2BRppIF Die von mir genutzte Bauunterlage (Filz grau) findet ihr hier: https://amzn.to/30piH7b Über KiddiCraft Sets und die KIDDIZ Figuren - Johnny der ErklärbärKiddiz by KiddicraftDen kleinen 16x16 LED-Bildschirm (DIVOOM) findet ihr hier bei Amazon:* https://amzn.to/2UTbwky Affiliate Link bei Amazon* Den Divoom Pixxo 64 (der Links im Bild)* gibts hier: https://amzn.to/3Gnv7zn Danke für eure Unterstützung! https://amzn.to/3e4mnQ6 Wenn ihr jetzt Lust auf andere Klemmbausteine bekommen habt schaut doch mal hier vorbei: https://steingemachtes.de ... oder schaut bei uns im Laden in Paderborn vorbei! Hier gibts eine kleine Roomtour zu Laden in Paderborn:         https://youtu.be/uVkfKDIrHzE* Die Angebote bei Amazon stammen nicht von mir oder der Steingemachtes GmbH, ich erhalte aber durch den Verweis auf diese Produkte eine Provision, wenn ihr dort etwas kauft, jedoch ohne dass Euch zusätzliche Kosten entstehen. Wenn Ihr über diese Links etwas (muss nicht mal der verlinkte Artikel sein) kauft... Vielen Dank! Hier findet ihr uns bei Twitter: https://twitter.com/JohnnysWorldYT Telefonnummer für den Laden: 05251 5063594 WhatsApp: +4915227611809 Instagram: johnnysworldyt"
"lFxfHxUazrQ","Luxusautos 🤝 Schwarzhandel: Schmugglern auf der Spur I frontal","2023-12-13T17:00:42Z","UCDw0K7K658-ztRuCn2mn0Kw","frontal","25","23.14.12","frontal|frontal21|frontal 21|zdf frontal|zdf|luxus|auto|luxusauto|schmuggel|autoschmuggel|schwarzmarkt|telegram|ebay kleinanzeigen|autoverkäufer|leasing|betrug|suv|sportwagen|supercars|elite|reich|reichtum|audi|mercedes|porsche|jaguar|kriminalität|illegal|sanktionen|sanktionen verstoß|deal|russland|belarus|spurensuche|undercover|insider","118651","1990","0","662","https://i.ytimg.com/vi/lFxfHxUazrQ/default.jpg","False","False","Luxuskarossen aus Deutschland stehen in Russland hoch im Kurs. Westliche Marken gelten als Statussymbol und sind bei der russischen Elite sehr beliebt. Seitdem der Angriffskrieg auf die Ukraine begann, wurde auch der Export von deutschen  Luxusprodukten eingeschränkt. Dadurch soll der Sanktionsdruck auch in hohen Kreisen ankommen. Doch die Sanktionen sind leicht zu umgehen. Luxusautos werden mitten durch Europa nach Russland geschleust. Wir sind Autoschiebern auf der Spur: Unsere Recherchen führen uns bis an die Außengrenzen der EU._______________Kapitel:     00:00 Intro01:12 Merkwürdiges auf der Autobahn02:07 Sanktionen umgehen mit PKW-Exporten04:03 Auf der Spur der Schmuggler06:15 Konfrontation mit Autohändlern13:39 Outro_______________Weiterführende Links:Restriktive Maßnahmen der EU als Reaktion auf die Krise in der Ukraine:https://www.consilium.europa.eu/de/policies/sanctions/restrictive-measures-ukraine-crisis/history-ukraine-crisis/Restriktive Maßnahmen gegen Belarus:https://www.consilium.europa.eu/de/policies/sanctions/restrictive-measures-against-belarus/German Trade & Invest. | Übersicht EU-Sanktionen gegenüber Russland seit 2014: https://www.gtai.de/de/trade/russland/zoll/gtai-special-russland-sanktionen-65188Bundesamt für Wirtschaft und Ausfuhrkontrolle | Embargos Belarus: https://www.bafa.de/DE/Aussenwirtschaft/Ausfuhrkontrolle/Embargos/Belarus/belarus_node.htmlifo Institut |  Sanktionen gegen Russland - Wurde ihre Wirkung überschätzt? Eine Zwischenbilanz: https://www.ifo.de/publikationen/2023/aufsatz-zeitschrift/sanktionen-gegen-russland_______________Autor: Arndt GinzelKamera: Gerald Gerber Schnitt: Stefan EggersSprecher: Anton WeilRedaktion frontal: Christian Rohde, Kyo Mali JungGrafik: Marie-Louise Stoll, Rudi KirschenArt Director, Grafik: Nicolas de Leval JezierskiCvD Cine Impuls Leipzig: Rita Kundt, Eva EchterhoffProduzentin Cine Impuls Leipzig: Anke Kossira Head of Social Media Cine Impuls Leipzig: Veronika PrützTeam: Anne Strasen, Emmi Neumann, Malte Pätz, Dirk Nebel, Henrik MerkerHead of Content frontal: Kyo Mali Jung_______________Songs im Video:““Quintessence” - Maxwell Albert Karmazyn, Bruce Fingers, Billie Ray Fingers“Stop the Dogs Of War” - Blues Saraceno, Romain Paillot, Billie Ray Fingers“Galactic Cluster” - Jonathan Levi Shanes, Bruce Fingers, Billie Ray Fingers“In At The Deep End” - Kadeem Justin Ferdinand, Leif van Cleef, Emerson Ware“Iniquitous” - Emerson Ware, Zep Jameson“The Cleaning” - Charles Antoine Laurent Debouit“On The Run” - Charles Antoine Laurent Debouit“My Heart Hurts” - Charles Antoine Laurent Debouit“Disjoncted” - Charles Antoine Laurent Debouit“Fake It Till You Make It” - Francis James Ralls, Bruce Fingers, Billie Ray Fingers“Time Is Of The Essence” - Mark Randall Leggett“100 Hearts” - Paul Graham Stanborough, David Colin Logan“My Flowing Blood” - Paul Graham Stanborough, David Colin Logan“Drive By Night” - Charles Antoine Laurent Debouit_______________Willkommen bei frontal! Du kennst bestimmt schon die spannenden Dokus und Reportagen von unseren Kolleg:innen von ZDFheute Nachrichten, ZDFinfo oder ZDF Magazin Royale. frontal ist das YouTube-Format zur gleichnamigen Sendung, dem Politikmagazin des ZDF. ________________ Mehr von frontal? Jede Woche gibt es auf diesem Kanal ein neues Video. Du willst nichts verpassen? Abonniere frontal! Du hast einen Themenvorschlag? Schreib uns an: frontal.youtube@cine-impuls.de ________________Mehr Infos unter:Mediathek: https://www.zdf.de/politik/frontal#xtor=CS3-178Twitter: https://twitter.com/ZDFfrontalFacebook: https://www.facebook.com/ZDFfrontal/ Netiquette: https://www.zdf.de/service-und-hilfe/netiquette-104.html#xtor=CS3-178Impressum: https://www.zdf.de/service-und-hilfe/social-media-impressum-100.html#xtor=CS3-178#frontal #zdf #luxuscars"
"kt_VlpwYEjk","7 vs. Wild: Teams - Sturmflut | Folge 5","2023-12-13T17:00:47Z","UCT3-jVASfcjZvzCbUglMObA","7 vs. Wild","22","23.14.12","7 vs. wild|7 vs wild|seven vs wild|7vswild|7vs wild uncut|7 vs. Wild: Teams - Sturmflut | Folge 5","1027737","59641","0","2286","https://i.ytimg.com/vi/kt_VlpwYEjk/default.jpg","False","False","►Werbung: Nutzt unseren Link https://nordvpn.com/7vsWild , um 4 zusätzliche Monate auf ein 2-Jahres-Abo und einen Amazon.de-Gutschein im Wert von bis zu 30 EUR zu erhalten. Seid schnell und sichert euch euren Amazon.de-Gutschein bis zum 9. Januar 2024! https://nordvpn.com/7vsWild►Danke an unseren Partner NordVPN.7 vs. Wild - Staffel 3 ab jetzt  vorab auf Freevee. http://www.freevee.de (Werbung)Noch nicht genug von 7 vs. Wild?Weitere Hintergrundinformationen, exklusive Inhalte sowie Teilnehmerinterviews und einzigartige Bilder findet ihr auch dieses Jahr im offiziellen 7 vs. Wild - Teams Bildband. Jetzt vorbestellen auf http://www.vysuals.deJetzt selber Kanada entdecken mit unserem Projektpartner: https://www.kanadafieber.de@kanadafieber (Werbung)💚 Unsere Werbepartner und Sponsoren:KoRo: http://korodrogerie.de/YTwild-episode-4Chio: https://www.chio.de/Disney+: https://www.disneyplus.com/de-deHolzkern: http://holzkern.com/wildNordVPN: https://www.NORDVPN.com/7vsWildRhinoshield: https://url.rhinoshield.de/7vsWILDAudiencly: https://audiencly.com/⛺ Alle Teilnehmer @FritzMeinecke  https://www.instagram.com/fritz.meinecke @SurvivalMattin  https://www.instagram.com/survival.mattin.official/ @Knossi  https://www.instagram.com/knossi/ @SaschaHuber  https://www.instagram.com/sascha_huber_official/ @papaplatte  https://www.instagram.com/papaplatte/ @Reeze  https://www.instagram.com/lemonreezy/ @Trymacs  https://www.instagram.com/trymacs/ @Rumathra  https://www.instagram.com/rumathra_/ @joeykelly.official  https://www.instagram.com/joeykelly.official/ @jan.schlappen  https://www.instagram.com/jan.schlappen/ @affeaufbike  https://www.instagram.com/affe_auf_bike/ @hannahassil  https://www.instagram.com/hannahassil/ @Naturensoehne  https://www.youtube.com/@Naturensoehne🐺7 vs. Wild Gründer: Fritz Meinecke https://www.instagram.com/fritz.meineckeMitgründer: Max Kovacs https://www.instagram.com/max_kovacs/Mitgründer: Johannes Hovekamp https://www.instagram.com/jovekamp/🎞️ Main ProduktionHost: Fritz MeineckeRedaktionsleitung: Max Kovacs, Johannes HovekampProduzent: Calivision Network GmbHExecutive Producer CVS: Nils Trümpener1. Aufnahmeleitung: Dirk EichstädtSet Aufnahmeleitung: Nele OhnesorgeProduktionsassistent: Tom RaussenKamera- & Schnittleitung: Patrick Gillitzer https://www.instagram.com/patrick_gillitzer/Foto, Drohne, Grafik, Motion Design: Rico Davies https://www.instagram.com/ricovysuals/Kamera: Leonardo Agraz https://www.instagram.com/leonardoagraz/Kamera: Daniel Milz https://www.instagram.com/daniel.milz/Kamera: David Henrichs https://www.instagram.com/david.henrichs/Kamera: Max Kovacs https://www.instagram.com/max_kovacs/Kamera & Drohne: Malaravan Thanabalasingam https://instagram.com/vanfxofficialKamera & Drohne: Maxim Goch https://www.instagram.com/marstouriste/Sichterin & 10 weitere Rollen: Debbie Behr https://www.instagram.com/debbiebehr/Sichter: Clemens Hovekamp: https://www.instagram.com/clemenshovekamp/Sichter: Maxim Goch https://www.instagram.com/marstouriste/Sichter: Henrik https://instagram.com/henrikluerwer?igshid=OGQ5ZDc2ODk2ZA==Sichter: Ben https://instagram.com/ben.eath?igshid=OGQ5ZDc2ODk2ZA==Sichter: Marc StephanSurvival-/Sicherheitsberater: Hauke Kuehl https://www.instagram.com/hauke_kuehl/Survival-/Sicherheitsberater: Jonathan SchefflerNotarzt: Dr. Barbara StabNotarzt: Dr. Michael BrockNotfallsanitäter: Björn Schlotte https://www.instagram.com/st.baphometBau-Team: Steffen Schmidt, Sebastian Schmallenbach, Eduard Getter, Alexander Petrow, Thomas Petrow.🗣 SprecherRafael Banasik: https://voiced-over.com/🎶 MusikURTONMUSIChttps://open.spotify.com/album/1NGajx3oQhPSek5YeAAhoG?si=l1MHqHGBR5W4QZjIF8UZHASurvival Anthem Lyric Video: https://youtu.be/E22xw5z49go🎥 BTS ProduktionKamera: David Henrichs https://www.instagram.com/david.henrichs/Kamera: Leonardo Agraz https://www.instagram.com/leonardoagraz/Kamera: Daniel Milz https://www.instagram.com/daniel.milz/Drohne: Maxim Goch https://www.instagram.com/marstouriste/Redaktionelle Leitung, Cutter, Sprecher: Maximilian Unützer https://instagram.com/klangfarbenspiel_Lead Cutter: Chris PiotrowiczCutter, Motion Designer: Malaravan Thanabalasingam https://instagram.com/vanfxofficialCutter: Gianni Marlon QuettingSound: Lennart Damann https://instagram.com/hightide_tonstudiosExecutive Producer: Nils TrümpenerCEO Calivision Studios: Uwe SchlindweinDanke an das Team und unsere Partner. Ohne euch wäre das Projekt nicht möglich gewesen! 💚"
"rGnvKFZTzAc","Inas größter Wunsch geht in Erfüllung? ... 😍 I Coupleontour","2023-12-13T19:38:20Z","UCHdIpSB6VIsS5BZ1Juvvw8Q","Coupleontour","22","23.14.12","als Frau Frauen kennenlernen|lesben kennenlernen|wie lerne ich Frauen kennen?|q&a couple|coupletag|coupleontourx|coupleontour|vanessaundina|youtuberinnen bewerten|couple on tour|tiktok|reagieren tiktok|beziehungstest|freundin darf handy durchsuchen|kayef|umzug couple|24h essens challenge|inas schwester|bibisbeautypalace|10 arten schluss machen|tiktok coupleontour|ich würd lügen|hochzeit coupleontour|bubu|hochzeitsdatum coupleontour|tiktok reaktion|love on tour","230447","9032","0","601","https://i.ytimg.com/vi/rGnvKFZTzAc/default.jpg","False","False","Hey Bubus! ♥🖇️ Hier findet ihr unsere Empfehlungen/Favourites und Dinge, die wir haben (z.B. den Tannenbaum): https://www.amazon.de/shop/coupleontour. *🔆 Unser Buch (2. Teil) Together on Tour: https://amzn.to/3mI05Kq *🔆 Unser Buch (1. Teil) Love on Tour bestellen: https://amzn.to/3qWMwqB *⚠️ Folgt uns gerne hier: ⚠️▸ Unser Account: http://instagram.com/Coupleontour🤍 Inas: http://instagram.com/inaontour🤍 Nessis: http://instagram.com/nessiontour▸ TikTok: https://www.tiktok.com/@coupleontour🥰 Unser Merch: 🥰www.bubu-shop.de🥰 Unsere Kanalmitgliedschaft: 🥰https://www.youtube.com/channel/UCHdIpSB6VIsS5BZ1Juvvw8Q/join💻 Business Mail: 💻▸ coupleontour@uniquespace.de📷 Unser Equipment 📷▸ https://amzn.to/2Jdz6FD *▸ Final Cut Pro_______________________________________Wir sind Vanessa und Ina & sind seit dem 05.06.2021 verheiratet. Und wir sind seit dem 14.07.2022 Mamas. Leider hat uns das Schicksal am 12.07.2022, kurz vor der Geburt, ziemlich hart getroffen. Ina hat einen schweren Schlaganfall erlitten und wir kämpfen uns jetzt, gemeinsam als Familie, ins Leben zurück.Seit September 2018 haben wir einen gemeinsam Instagram-Account seit Dezember 2018 drehen wir gemeinsam Youtube-Videos. Das Tollste ist: wir können dir vielleicht mit unseren Videos helfen und dir ein Lächeln ins Gesicht zaubern. Haben dich lieb!#coupleontour #nessiundina_______________________________________* anzeige I  (Affiliate Links) = Die oben von uns aufgeführten Links sind Affiliate Links. Diese dienen zur Orientierung und schnellem finden der Produkte und werden je nach Erfolg mit einer Provision ausgezahlt falls diese genutzt werden :). Natürlich bleibt es euch allein überlassen wo ihr die Produkte kaufen möchtet :)"
