video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"zepLzfmg8CA","“필리핀 친정집이요? 현재는...” 가난한 며느리 친정에 집 사준 시어머니 최신 근황┃10년 전 다문화 고부열전 출연해 1,000만 명에 감동 준 시어머니와 필리핀 며느리┃알고e즘","2023-12-13T11:00:57Z","UCl_tB4AqPkkxuYcJQHz6dMw","EBSCulture (EBS 교양)","24","23.14.12","EBS|EBS culture|EBS 교양|교양|문화|culture","1324014","30552","0","2104","https://i.ytimg.com/vi/zepLzfmg8CA/default.jpg","False","False","10년 전 박정순 여사는 며느리의 집에 도착하자마자 왈칵 눈물을 쏟았다. 나무를 덧대 만든 집들이 모여 있는 며느리의 친정 동네를 보고 깜짝 놀랐기 때문. 상수도 시설도 갖춰지지 않아 멀리서 물을 길어다 사용하고 위생 상태도 엉망이라 악취가 진동을 한다. 6 제곱미터 남짓의 작은 판잣집에 살고 있는 사돈댁의 모습에 박 여사는 말을 잇지 못하는데.10년 전 다문화 고부열전에 출연해 며느리의 가난한 친정집을 보고 오열하고는 집을 사준 시어머니.누적 1,000만명의 시청자들에게 감동의 눈물을 흘리게 한 박정순 여사님은 어떻게 살고있을까?며느리 친정집 보고 오열한 시어머니와 가난한 필리핀 며느리의 최신 근황.#다문화  #다문화고부열전 #시어머니 #필리핀 #ebs #근황 #최신근황 #조회수 #고부열전 #감동 #눈물 #알고e즘  #가난 #판자폰 #집 #새집 #국제결혼 #고부 #고부갈등 00:00  인트로00:58  Q.1  출연하신 방송의 폭발적 반응 보셨나요?01:37  Q.2  방송 이후 어떻게 지내셨나요?02:29  Q.3  어떻게 집을 사주게 되었는지? 05:26  Q.4  며느리가 외국인이라 불편한 점이 있었는지?06:56  Q.5  필리핀 친정집은 어떻게 살고 있는지?08:36  끝인사——————————————————————음원 출처🎵Music provided by 브금대통령🎵Track : 할머니의 피아노 - https://youtu.be/BZRlGrwJh50"
"asmKLBG0rRY","전유진 - 멍에｜현역가왕 3회 MBN 231212 방송","2023-12-12T15:54:01Z","UCsxbX6QnOLal_qzzMK9AR9g","MBN MUSIC","24","23.14.12","전유진|멍에|현역가왕","928649","17647","0","14282","https://i.ytimg.com/vi/asmKLBG0rRY/default.jpg","False","False","현역가왕 3회 MBN 231212 방송한일 트롯 가왕전 국가대표 선발 서바이벌매주 화요일 밤 9시 10분 많은 관심 부탁드립니다♡ #전유진#멍에#현역가왕 ☞MBN NEWS 구독하기 : https://www.youtube.com/channel/UCG9aFJTZ-lMCHAiO1KJsirg?sub_confirmation=1☞MPLAY 구독하기 : https://www.youtube.com/channel/UC84IlgY5HIzxKBZOt8XM5UA?sub_confirmation=1☞MBN Entertainment 구독하기 : https://www.youtube.com/channel/UCYyLIlOJyqkAFKlVjzX5img?sub_confirmation=1☞MBN 공식 홈페이지 : https://www.mbn.co.kr"
"pYC8DO21kf8","임영웅의 스페이스 💌 IM HERO TOUR 2023 in 서울","2023-12-13T09:16:00Z","UC3WZlO2Zl8NE1yIUgtwUtQw","임영웅","10","23.14.12","미스터트롯|트로트|임영웅|트로트영웅|포천의아들|아침마당|판듀|전국노래자랑|영웅|홍대트로트|뭣이중헌디|계단말고 엘리베이터|kbs|가요무대|도전꿈의무대|박서진|진달래|천재원|명지|성국|미스트롯|장윤정|박현빈|박상철|박구윤|현장스케치|예능|트롯|TV조선|사랑의콜센타|뽕숭아학당|hero|imhero|이제나만믿어요|이나믿|별빛같은나의사랑아|별나사|사연|임영웅의스페이스|임영웅의 스페이스|사연 읽어주는 남자|스페이스웅","325954","50025","0","3341","https://i.ytimg.com/vi/pYC8DO21kf8/default.jpg","False","False","#임영웅 #LimYoungWoong #임영웅의스페이스임영웅 웅튜브 구독♡좋아요♡알람설정열심히 할게요/당신도 누를 수 있도록 Lim Young Woong  [I'm HERO] Youtube ChannelSubscribe Like Alert Setting Thank You♡공식 팬카페 [영웅시대]http://cafe.daum.net/hero0616"
"dL9kKbv7pyE","린 - 봄날은 간다｜현역가왕 3회 MBN 231212 방송","2023-12-12T16:03:00Z","UCsxbX6QnOLal_qzzMK9AR9g","MBN MUSIC","24","23.14.12","린|봄날은간다|현역가왕","460906","8504","0","2309","https://i.ytimg.com/vi/dL9kKbv7pyE/default.jpg","False","False","현역가왕 3회 MBN 231212 방송한일 트롯 가왕전 국가대표 선발 서바이벌매주 화요일 밤 9시 10분 많은 관심 부탁드립니다♡ #린#봄날은간다#현역가왕 ☞MBN NEWS 구독하기 : https://www.youtube.com/channel/UCG9aFJTZ-lMCHAiO1KJsirg?sub_confirmation=1☞MPLAY 구독하기 : https://www.youtube.com/channel/UC84IlgY5HIzxKBZOt8XM5UA?sub_confirmation=1☞MBN Entertainment 구독하기 : https://www.youtube.com/channel/UCYyLIlOJyqkAFKlVjzX5img?sub_confirmation=1☞MBN 공식 홈페이지 : https://www.mbn.co.kr"
"_p8tLsvqFYg","[BANGTAN BOMB] RM, Jimin, V, Jung Kook’s Entrance Ceremony with BTS - BTS (방탄소년단)","2023-12-13T10:00:03Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","23.14.12","방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin","3567153","633987","0","33846","https://i.ytimg.com/vi/_p8tLsvqFYg/default.jpg","False","False","#BANGTANBOMB #방탄밤 #BTS #방탄소년단*English subtitle will be provided later. We ask for your generous understanding.*日本語の字幕は後日サポートされる予定です。あらかじめご了承ください。*中文字幕待日后添加。望大家谅解。*Estarán disponibles más adelante los subtítulos en español.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com"
"KCT3ZagR9-M","PLAVE (플레이브) 'Merry PLLIstmas' Special Video","2023-12-12T09:00:14Z","UCPZIPuQPrfrUG9Xe_okEmQA","PLAVE 플레이브","24","23.14.12","플레이브|Plave|예준|노아|밤비|은호|하민|아이돌|케이팝|버추얼|IDOL|KPOP|VIRTUAL","2517152","46442","0","6631","https://i.ytimg.com/vi/KCT3ZagR9-M/default.jpg","False","False","PLAVE Digital Single 'Merry PLLIstmas' Special Video🔹PLAVE (플레이브) OfficialFanCafe : https://cafe.daum.net/plaveTwitter : https://twitter.com/plave_officialInstagram : https://www.instagram.com/plave_officialTiktok : https://www.tiktok.com/@plave_officialFacebook : https://www.facebook.com/Plave.official#PLAVE #플레이브 #Merry_PLLIstmas"
"PAfbByIKQEE","소년시대 | 7-8화 예고편 | 쿠팡플레이 | 쿠팡","2023-12-12T12:15:01Z","UCjn-VbcIkAeXQKCmLJV8YwQ","쿠팡플레이 Coupang Play","24","23.14.12","[none]","708599","5659","0","923","https://i.ytimg.com/vi/PAfbByIKQEE/default.jpg","False","False","병태, 부여 찌질이로 돌아온 겨?아니여… 이제부터 시작이여!👊#쿠팡플레이 #coupangplay #소년시대#임시완 #이선빈 #이시우 #강혜원"
"lt_Vz4T1Fzo","먹방유튜버","2023-12-13T07:00:20Z","UCv-HJGOUupbVHCEBRdcLuVA","180초","23","23.14.12","스케치코미디|숏무비|코믹숏무비|코믹숏|숏폼|코믹숏폼|코미디|스케치|숏박스|싱글벙글|킥서비스|웃기시네|하이픽션|짧은대본|끄적끄적|픽고|너덜트|개그맨|임우일|이승환|먹방|먹케치|라면먹방|먹방유튜버","622975","8446","0","1087","https://i.ytimg.com/vi/lt_Vz4T1Fzo/default.jpg","False","False","#스케치코미디 #숏무비 #라면"
"L04Nufj4F_0","손흥민의 토트넘 경기장, 직관하면 감탄하는 이유? 해외축구 스타디움 리뷰","2023-12-13T11:37:13Z","UC7uDyFIqExDnfXAIZqumFrQ","셜록현준","27","23.14.12","토트넘 경기장|손흥민 경기장|토트넘 스타디움|손흥민 스타디움|토트넘 홋스퍼 스타디움|손흥민 토트넘 경기장|손흥민 토트넘 스타디움|이강인 경기장|김민재 경기장|손흥민|토트넘|이강인|김민재|fc바르셀로나 경기장|레알마드리드 경기장|손흥민 토트넘","241060","4806","0","316","https://i.ytimg.com/vi/L04Nufj4F_0/default.jpg","False","False","#토트넘 #해외축구 #손흥민 #이강인 #김민재 #스타디움 손흥민+이강인+김민재가 뛰는 경기장은?해외축구 스타디움 분석00:00 인트로00:41 레알마드리드 경기장05:07 FC바르셀로나 경기장08:47 김민재의 바이에른 뮌헨 경기장13:52 이강인의 파리 생제르맹 경기장15:40 손흥민의 토트넘 홋스퍼 스타디움"
"Rej1_LcVE3o","skibidi toilet 68 (part 2)","2023-12-12T22:16:00Z","UCsSsgPaZ2GSmO6il8Cb5iGA","DaFuq!?Boom!","24","23.14.12","skibidi meme|sfm animation|funny animation|gmod animation|skibidi toilet vs cameramen|titan cameraman|skibidi toilet|scientist skibidi","23292432","1110338","0","60138","https://i.ytimg.com/vi/Rej1_LcVE3o/default.jpg","False","False","squad gets deeper in the skibidi labfull-screen versionthx @HoovyTube for extra particlesContact me:instagram.com/dafuqboomtvblugrayguy@gmail.com"
