cluster,views,likes,dislikes,comment_count
0,1216105.6065573771,38817.06364513018,1722.225650916104,5046.952266152362
1,966436.0165235493,42790.89383294302,2045.8740567265158,5547.560629716368
2,1231002.9015041243,40913.40417273169,2583.278505579816,5788.870936438622
3,914682.5376799323,25768.71380186283,1162.5139712108382,3385.8882303132937
4,931470.9954207212,36372.26502575845,1563.8202633085289,4176.631940469376
5,911845.041004184,32864.761506276154,1199.9564853556485,4997.9933054393305
6,1146841.722815839,38648.11439346323,1895.2124450031426,4956.329352608423
7,1105710.3220815752,33882.286216596345,1655.014064697609,4609.3656821378345
8,1452736.8769167012,38273.84169084128,4975.12639867385,5743.212598425197
9,1112120.3947761194,38844.88208955224,1809.9589552238806,5181.177611940298
10,1290252.9318085557,38689.83269800932,1754.5916984328674,4133.557814485387
11,1861791.1897366645,67795.84672518568,2090.81836596894,8107.043214044565
12,831974.2216943784,32465.67537608868,1134.8131433095803,3934.769596199525
13,1073810.112740605,40317.0980751604,1700.045829514207,4580.100824931255
14,1507106.4629414047,49700.163368257665,2025.6682188591385,6205.771439658518
15,970582.1070772059,30139.890165441175,1348.6148897058824,3695.912224264706
16,832934.431827112,25371.695088408644,1304.62278978389,3257.7041257367387
17,1056719.168831169,48441.635064935064,2350.2415584415585,6537.744805194805
18,1464423.646060606,47376.53939393939,1828.7921212121212,4773.68
19,1364934.4667114997,33213.27572293208,2380.901143241426,4447.516476126429
