cluster,views,likes,dislikes,comment_count
0,686164.2236842106,28115.731829573935,1000.1159147869674,2614.7061403508774
1,467765.82608695654,22262.871014492754,650.3985507246376,2021.984541062802
2,447958.92811059905,16513.732258064516,812.1976958525346,1937.46267281106
3,403001.1314968815,24958.61105336105,706.222972972973,2673.076923076923
4,510414.33430742257,22074.354763296316,987.5984804208066,2178.6703682057278
5,513047.43262411345,23713.33546099291,1716.5099290780142,3383.3581560283687
6,503374.8211382114,23032.633242999098,1680.6097560975609,2077.1987353206864
7,316261.1165644172,7778.790388548057,428.0756646216769,741.5
8,303298.1339050132,11767.602572559366,423.05441952506595,1327.6154353562006
9,409064.1081081081,15460.861003861004,741.0936293436293,1424.9092664092664
10,513429.6180203046,12999.730329949238,723.984771573604,1429.5805837563453
11,382491.15251084935,16712.768753874767,747.2802231866089,1799.7916924984502
12,487694.73153296264,19067.266084193805,753.628276409849,1719.7625099285146
13,432076.8580940491,13975.566791510611,597.1081980857261,1295.3541406575114
14,773774.0971698114,27151.554716981133,4483.453773584905,4743.3716981132075
15,352716.6033868093,14416.542780748663,447.72370766488416,1139.2067736185384
16,480615.24184988625,23681.297194844577,1028.357846853677,1996.8506444275968
17,408834.27537313435,17442.240298507462,841.1634328358209,1603.529104477612
18,368034.4850197852,17863.08479366874,646.608253250424,1619.736009044658
19,710826.1485608171,17104.468895078924,961.9442896935933,1572.799442896936
