cluster,views,likes,dislikes,comment_count
0,2158496.9573934837,76281.53383458647,2959.997493734336,9051.59649122807
1,901920.3256227758,27402.977758007117,1129.2633451957295,3200.30871886121
2,3042627.432295438,91479.57422157857,3262.875452570601,8855.377262853006
3,3245592.4809286897,122413.7039800995,4546.269485903815,9255.019071310116
4,2573265.0863849767,113283.19755868545,3175.1107981220657,11156.467981220658
5,1526885.7483774337,49756.40788816775,6175.130304543185,8521.846729905143
6,1881635.5874396134,52820.18502415459,7405.744927536231,10547.276811594204
7,2693502.6520787748,114973.77625820569,4069.683807439825,15455.860503282276
8,4048282.668087698,102603.24238733252,5542.313641900122,10982.288063337393
9,1183076.3719008265,39290.64214876033,1728.1603305785125,5265.403305785124
10,3425882.8089430896,77195.6766034327,7675.956187895213,8580.037037037036
11,1325273.1839237057,48347.519073569485,1711.226158038147,6596.49795640327
12,2531520.1115202527,76943.29879011046,4490.128879537086,6998.5907417148865
13,2547269.680833674,71525.84102983245,3082.8888434818145,9133.463833265223
14,2140026.499670836,74137.24950625411,2939.410138248848,7896.095457537854
15,2790151.5395878525,89697.07754880695,2595.492407809111,8839.261388286333
16,1741697.4427860696,40290.810323383084,1609.0391791044776,5030.209577114428
17,1456872.929910045,38735.3095952024,2014.4891304347825,4373.988005997002
18,2555766.102236422,68392.91214057508,3548.7539936102235,8493.731096911608
19,1685683.5995115994,47343.40415140415,2453.4358974358975,5188.910866910867
