video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"On1NpspZwXk","現役防衛副大臣が激白「不記載は派閥の指示」【ノーカット】（2023年12月13日）","2023-12-13T10:02:18Z","UCkKVQ_GNjd8FbAuT6xDcWgg","テレ東BIZ","25","23.14.12","[none]","446446","8490","0","2758","https://i.ytimg.com/vi/On1NpspZwXk/default.jpg","False","False","自民党安倍派に所属する宮沢防衛副大臣が、パーティー券のキックバックを政治資金収支報告書に記載しなかったことについて「派閥の指示だった」と明らかにしました。宮沢防衛副大臣が報道陣に語った内容をノーカットでご覧下さい。#宮沢防衛副大臣　#パーティー券　#政治資金収支報告書　#キックバック　#安倍派　#宮沢博行WBS、モーサテ、ガイアの夜明け、カンブリア宮殿などが見放題！「番組未公開」コンテンツも盛りだくさん。日本最大級の経済動画配信サービス「テレ東BIZ」。▼▼「テレ東BIZ」はこちら（無料でお試し）▼▼https://txbiz.tv-tokyo.co.jp/lp/?utm_source=youtube&utm_medium=video"
"KzdRXVz8170","【ご報告】4年間お世話になった皆様へ。","2023-12-13T09:01:00Z","UCplhkHsYKxXjTde1lq8F-4w","もちまる日記","15","23.14.12","[none]","1209321","0","0","1038","https://i.ytimg.com/vi/KzdRXVz8170/default.jpg","False","True","⬇️写真集【もちはな日記】のご予約はこちらから⬇️【Amazon.co.jp限定】※2024年6月10日まで特典：オリジナル待ち受け画像 データ配信https://www.amazon.co.jp/dp/4046066032【楽天ブックス限定特典】特典：ポストカードhttp://books.rakuten.co.jp/rb/17713957/ ⚠️特典はなくなり次第終了となります。"
"JLPZ9uzyas0","劇場版『機動戦士ガンダムSEED FREEDOM』本予告","2023-12-12T20:00:10Z","UC7wu64jFsV02bbu6UHUd7JA","ガンダムチャンネル","1","23.14.12","#SEEDFREEDOM|#SEED|#SEEDDESTINY|#ガンダムSEED|#機動戦士ガンダム|#ガンダム|#ガンチャン|#anime|#アニメ|#映画|#movie","1033284","13301","0","1836","https://i.ytimg.com/vi/JLPZ9uzyas0/default.jpg","False","False","ガンダムSEEDシリーズ最新作『機動戦士ガンダムSEED FREEDOM』2024.1.26 ROAD SHOW!!「私の中にあなたはいます。あなたの中に私はいますか？」♦TICKET・つながるムビチケカード（全5種）・レギュラームビチケ（全1種）・オンラインムビチケhttps://www.gundam-seed.net/freedom/theater/♦WEB・『機動戦士ガンダムSEED FREEDOM』公式サイトhttps://www.gundam-seed.net/freedom・「機動戦士ガンダムSEEDシリーズ」公式サイトhttps://www.gundam-seed.net/♦SNS　《Follow ｍe!!》・「機動戦士ガンダムSEEDシリーズ」公式Twitterhttps://twitter.com/SEED_HDRP・【期間限定】『機動戦士ガンダムSEED FREEDOM』公式TikTokhttps://www.tiktok.com/@seed_freedom_official♦INTRODUCTIONC.E.（コズミック・イラ）――遺伝子を調整し、生まれながらにして優れた身体能力や頭脳を持つ人類（コーディネイター）と自然のままに生まれた人類（ナチュラル）が存在する時代。「機動戦士ガンダムSEEDシリーズ」は、このC.E.を舞台にコーディネイターとナチュラルの間の戦いを描いた作品である。C.E.71～を描いた『機動戦士ガンダムSEED』（2002～2003年）、C.E.73～を描いた『機動戦士ガンダムSEED DESTINY』（2004～2005年）がTVアニメーションとして放送され、その後も様々なメディアで展開された。そしてC.E.75を完全新作ストーリーで描く『機動戦士ガンダムSEED FREEDOM』が、2024年、ファン待望の劇場公開！♦STORYC.E.75、戦いはまだ続いていた。独立運動、ブルーコスモスによる侵攻……事態を沈静化するべく、ラクスを初代総裁とする世界平和監視機構・コンパスが創設され、キラたちはその一員として各地の戦闘に介入する。そんな折、新興国ファウンデーションから、ブルーコスモス本拠地への合同作戦を提案される。"
"nQ-vDokNNPc","新婚旅行中に喧嘩勃発でディベート対決スタートwww【モルディブ編#2】","2023-12-13T09:07:30Z","UC3s3pjVgGffuAuqTXN4gu0g","エガワ家","22","23.14.12","[none]","427919","8468","0","371","https://i.ytimg.com/vi/nQ-vDokNNPc/default.jpg","False","False","Part1はこちらからご覧ください↓https://youtu.be/cvDOk747TWs"
"KxDgXegMMgU","【爆笑注意】飲み会に行くために地獄のGRWMしたら面白すぎたwithゆうぴーまん","2023-12-13T10:00:14Z","UC9Wl5AzCQzp2esQ7uVoQz0g","とうあ","24","23.14.12","[none]","262571","4951","0","161","https://i.ytimg.com/vi/KxDgXegMMgU/default.jpg","False","False","@yuusb 無断転載いっぱいしてね(^^)☆彡＼とうあがクリエティブディレクターをつとめるオリジナルブランド『BG』を発表！！ ／BG コンセプト年齢にも性別にも囚われずありのままの自分を少し強くする心躍るままに、好奇心をそのままに今日という日をあなたの人生で1番の日に【オリジナルアパレルブランド『BG』発売!!】発売日：2023年9月7日(木)19:00〜↓商品購入はこちらから販売URL：https://frontrowbyuuum.com/pages/bg公式Instagram：https://www.instagram.com/bg_by_toatakami公式LINE：https://lin.ee/x0Mr4DY 【初のフォトブック発売中!!】タイトル：『何者』発売日：2023年1月24日(火)　定価： ¥2,420円 (税込)↓ご予約はこちらからhttps://www.amazon.co.jp/dp/4299038533【デビューシングル『若者 (Young)』リリース!!】各配信音楽サービス：https://big-up.style/GKtFVD1WXoMV：https://www.youtube.com/watch?v=o-IuJwyc1ig【初のエッセイ本発売中】タイトル：生まれ変わっても自分でいたいって思うために生きてる発売日 ‏ : ‎ 2021年12月1日定価：1,430円(本体1,300円+税)Amazon：https://www.amazon.co.jp/dp/B09KNGHSWSセブンネットショッピング：https://7net.omni7.jp/detail/1107245841【とうあSNSアカウント】Instagram：https://instagram.com/___2toua2___TikTok：https://vt.tiktok.com/ZSJNXvVX9Twitter：https://twitter.com/___2toua2___150-0001東京都渋谷区神宮前3-21-8T.S.原宿第２ビルアソビシステム株式会社unno@asobisystem.com"
"ZgJZfZbyjhw","OTONABLUE (Hyper School Remix) - Live at Tokyo","2023-12-13T12:00:12Z","UCp0iCvHGMwyfPHpYq7n2sPw","ATARASHII GAKKO! - 新しい学校のリーダーズ","10","23.14.12","新しい学校のリーダーズ|ATARASHIIGAKKO|새로운 학교의 리더즈|ATARASHII GAKKO!|オトナブルー|大人ブルー|otonablue|オトナブルーリミックス|otonablueremix|remix|otonablue hyper school remix|FNS|FNS歌謡祭|CDTV|レコード大賞|レコ大|紅白|紅白歌合戦|the first take|first take|ファーストテイク|青春を切り裂く波動|Tokyo Calling|Mステ|ミュージックステーション|Choreography|dance practice|performance video|スキライ|SukiLie|88rising|Pineapple Kryptonite","232205","8471","0","356","https://i.ytimg.com/vi/ZgJZfZbyjhw/default.jpg","False","False","2023.10.29 「HAMIDASHITEIKU」OTONABLUE (Hyper School Remix) - Live at TokyoNew EP「一時帰国 DELUXE / ICHIJIKIKOKU DELUXE」https://leaders.asobisystem.com/news/350876Digital EP「一時帰国 / ICHIJIKIKOKU」Stream&Download: https://lnk.to/ICHIJIKIKOKU【Follow ATARASHII GAKKO!】https://www.instagram.com/japan_leaders https://twitter.com/japanleaders https://www.facebook.com/japanleaders https://www.tiktok.com/@japanleaders https://note.com/8304leaders#ATARASHIIGAKKO #OTONABLUE #Remix"
"-H_k7iwrWVY","Official髭男dism - SOULSOUP [Official Video]","2023-12-12T15:00:08Z","UC9M4B-fqveLyWPGNdSkam7g","Official髭男dism","10","23.14.12","[none]","672113","32220","0","2636","https://i.ytimg.com/vi/-H_k7iwrWVY/default.jpg","False","False","『劇場版 SPY×FAMILY CODE: White』 主題歌New Digital Single「SOULSOUP」('23.12.13 OUT)LISTEN & DLhttps://HGDN.lnk.to/SOULSOUPIDMORE INFOhttps://soulsoup.ponycanyon.co.jp[VIDEO CREDIT]Director : Hidenobu TanabeCast : Takashi Sakakibara, Toshiechan, Piroshi Matsuda, ITO, RINA, Leslie T., Neela.N, Junko Edamame, Nikita GalkinDirector of Photography : Koretaka Kamiike1stAC : Koji Imoto2ndAC : Yuto Mori3rdAC : Go MiyagiLighting Director : Motoki TanakaLighting Chief : Chisato NishimotoLighting Assistant : Makoto Ishizuka, Shigeru Sato, Kiyoshi Nishida, Yukinori Suda, Yuki Kino, SUIProduction Designer : Naoyuki HashimotoProduction Designer Assistant : Nanami OzawaProps : Yuki Hirano, Mitsuko AkutsuStage Setting : Shinya Igawa, Yuki Hagiwara, Atsuko Hamano, Kana ZaitaSet Painter : Chikara Tanaka, Kenta MiyamotoSpecial Effect : Osamu KikegawaKey Grip : Ryota Ide(ID Grip)Grip : Masahito NawataArtist And Cast Hair And Makeup : Katsuki Chichii(beausic inc.), Arisa Ikuta ,Shunsuke MurakamiCast Makeup : Atsushi KokawaCast Hair And Makeup Assistant : Momoka Matayoshi(superbly inc.), Satsuki Takahashi(superbly inc.), Mamiya YamadaStylist : Shogo YanagiStyling Assistant : Kazusa Shimojima, Haruka UchizonoSpecial Thanks : AMP WORKS, BIG TIME, BODYSONG.(PR.ARTOS), disemBySiiK, Dr.Martens, glamb, HEOS, Kanami Fukushima, KENTARO(THE ERECTiONS.), Harajuku Chicago(JINGUMAE & Harajuku), NEEDLES, PAMEO POSE, SHINYAKOZUKA, Soerte, SHAGGIE, Taiga Igari, Twist, 666 HARAJUKU, SOL(JOYEUX), TAAKK(JOYEUX), ARTCHENY(Sian PR), FACTOTUM(Sian PR), SICKNESS(Sian PR), Liu Bisho(Kyokaen), Tokyo Costume Co., LtdRamen Coordinator : SOTA (SOMETIME'S), KOBAPY, LEIJIColorist : Max GolomidovPostproduction Producer : Yohei Araki(VIXI inc.)Online Editor : Masashi Sato(VIXI inc.)Casting Office : OIP, SKALYAssistant Director : Takko YoshidaProduction Assistant : Keisuke Shiono(VIXI inc.)Production Staff : Aiko Honma, Masamitsu Wakimoto, Yoko Watanabe, Kaiya Baba, Hiroyuki Ishii, KINO, ARISAProducer : Kota Noguchi(VIXI inc.)Assistant Producer : IYO(VIXI inc.)Production : VIXI inc.FOLLOW HIGEDANWebsite: http://higedan.com/Instagram: https://instagram.com/officialhigedandism?utm_medium=copy_linkTwitter: https://twitter.com/officialhigeLINE: https://line.me/ti/p/%40higedanTikTok: https://www.tiktok.com/@official_hige_dandismFacebook: https://www.facebook.com/officialhigedandism"
"wsFCkeAZtgo","【師弟対談】鈴木千裕×五味隆典スペシャル祝勝会対談しました！","2023-12-13T11:00:55Z","UCqGGEgRROwOFdagbsKsh5OA","鈴木 千裕 Chihiro Suzuki","17","23.14.12","鈴木千裕|RIZIN|MMA|格闘技|格闘家|キックボクシング|knock out","153946","3180","0","335","https://i.ytimg.com/vi/wsFCkeAZtgo/default.jpg","False","False","▽【五味隆典さんのYouTube 】@user-pw3kt8ko2h ▽【五味隆典さんのInstagram】https://twitter.com/Takanori_Gomi▽【五味隆典さんのInstagram】https://www.instagram.com/takanorigomi/▽【鈴木千裕Instagram 】https://www.instagram.com/suzuki.chihiro0514/▽【鈴木千裕X】https://x.com/chihiro__0514?s=21&t=daTwBlCoU24duZSd0Suhiw▽TikTok https://vt.tiktok.com/ZSdtRJokD/▽【公式】鈴木千裕チャンネルInstagram  https://www.instagram.com/chihiro_suzuki_channe▽X【鈴木千裕 Official Team】 https://twitter.com/Chihiro_yt0514▽【Inspirit 鈴木千裕選手コード】 MIS0131※Inspiritをご購入される方はこちらのコードを入力して頂くとお得に購入ができますので是非お使い下さい！▽Inspirit Japanhttp://www.inspirit.jp#鈴木千裕 #五味隆典 #rizin #対談"
"A8hOc9hA30U","Snow Man【訳あって…緊急企画!!】アポなしドライブ🚘","2023-12-13T08:00:05Z","UCuFPaemAaMR8R5cHzjy23dQ","Snow Man","10","23.14.12","Snow Man|スノーマン|岩本 照|Hikaru Iwamoto|深澤 辰哉|Tatsuya Fukazawa|ラウール|Raul|渡辺 翔太|Shota Watanabe|向井 康二|Koji Mukai|阿部 亮平|Ryohei Abe|目黒 蓮|Ren Meguro|宮舘 涼太|Ryota Miyadate|佐久間 大介|Daisuke Sakuma","942034","0","0","2040","https://i.ytimg.com/vi/A8hOc9hA30U/default.jpg","False","True","どうもSnow Manです！今日はあいにくの雨、、、なので企画を緊急変更！「何をやるかドライブしながら考えよう！」舘さんがやりたいことをやる！？宮舘涼太presents「みんなで思い出を作ろう！」みんなで話して何するか決めます！ノーアポなんで、自分たちで予約と撮影許可とって行くことに💦ラウールが電話をかけまくる、、、どこに決定するのか？スノチューブ史上、最もヤバい状況wwwどうなったかは動画でご覧ください！#snowman #緊急企画 #アポなしドライブ◆FAMILY CLUB Official Site https://www.johnnys-net.jp/page?id=ar...　◆Snow Man HP https://mentrecording.jp/snowman/◆Snow Man YouTube公式チャンネル https://www.youtube.com/c/J_SNOWMAN◆Snow Man Xhttps://twitter.com/SN__20200122 ◆Snow Man TikTokhttps://www.tiktok.com/@snowman_mentr...◆Snow Man Instagram https://www.instagram.com/snowman_off...◆Snow Man Weibohttps://www.weibo.com/SnowManofficial#SnowMan #スノ #スノチューブ #岩本照 #深澤辰哉 #ラウール #渡辺翔太 #向井康二 #阿部亮平 #目黒蓮 #宮舘涼太 #佐久間大介"
"FOai83VIogA","【 ＃百鬼あやめ生誕祭2023 】Nakiriayame 6th BirthDay  ～Shoot the heart～","2023-12-13T12:57:27Z","UC7fk0CB07ly8oSl0aqKkqFg","Nakiri Ayame Ch. 百鬼あやめ","24","23.14.12","#百鬼あやめch|#百鬼あやめ|百鬼あやめ|ホロライブ|hololive|ホロライブゲーマーズ|歌ってみた|ゲーム実況|実況|バーチャルyoutuber|Vtuber|VTuber|バーチャルYouTuber|VR|3D|ときのそら|ロボ子さん|夜空メル|アキ・ローゼンタール|赤井はあと|白上フブキ|夏色まつり|湊あくあ|紫咲シオン|癒月ちょこ|大空スバル|大神ミオ|さくらみこ|猫又おかゆ|戌神ころね|兎田ぺこら|潤羽るしあ|不知火フレア|宝鐘マリン|白銀ノエル|AZKi|星街すいせい|天音かなた|桐生ココ|姫森ルーナ|角巻わため|常闇トワ|雪花ラミィ|桃鈴ねね|獅白ぼたん|尾丸ポルカ","584178","48593","0","517","https://i.ytimg.com/vi/FOai83VIogA/default.jpg","False","False","✨ 百鬼あやめ誕生日グッズ2023✨ ▼12月13日22時よりスタート！購入はコチラから！https://shop.hololivepro.com/products/nakiriayame_bd2023- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖°😈ゲスト✨ 　戌神ころね　@InugamiKorone 　猫又おかゆ　@NekomataOkayu 　湊あくあ　@MinatoAqua 　大空スバル　@OozoraSubaru 　紫咲シオン　@MurasakiShion 　癒月ちょこ　@YuzukiChoco 　兎田ぺこら　@usadapekora 　宝鐘マリン　@HoushouMarine 　白銀ノエル　@ShiroganeNoel 　天音かなた　@AmaneKanata 　桃鈴ねね　@MomosuzuNene 　雪花ラミィ　@YukihanaLamy 　ラプラス・ダークネス　@LaplusDarknesss 　沙花叉クロヱ　@SakamataChloe （敬称略）　※このLIVEは一部収録となっております。😈振付✨ 　『わざとあざとエキスパート/いぎなり東北産』作詞・作曲：鈴木裕哉　編曲：Yo-SK　　https://www.youtube.com/watch?v=NGCOEq5uzNM　いぎなり東北産公式HP:：https://madeintohoku.com/　樋口理乃　　おおしま兄妹　 @Oshima_siblings  　平来ミナ　@hiramina_p　雅雀り子（ZOC）　『チュープリ』　　いりぽん　https://www.youtube.com/watch?v=DbN0NWf45SA　芝健(アナタシア)　https://www.youtube.com/watch?v=ekfg3sHtWd0&t=0s　株式会社FIREWORKS　NaNaみん／Nageee／Akaneko／ﾁﾙﾅﾅ／fuu（敬称略）😈Special Thanks✨ 　クックルP https://twitter.com/c_hicken　宮内椋太 https://twitter.com/mukudori_971　E.L.M https://twitter.com/magic_of_L　菅野聡志 https://twitter.com/st_pipipi　Symny https://twitter.com/symny　Medansy https://twitter.com/medansy0125　aS https://twitter.com/AMusic05　犬絵　https://twitter.com/Catpicture_　まつこ　https://twitter.com/matuko_dora　日南めい　https://twitter.com/Hinami_mei　マッチ https://twitter.com/clw_gt😈サムネイル✨ 　らんぐ　https://twitter.com/ran9u😈ロゴ✨ 　青猫　https://twitter.com/aoneko2_osakana😈映像制作✨ 　紺色。    https://twitter.com/kon7iro　えるむ    https://twitter.com/elm_elme　浅谷    https://twitter.com/asaya_yaa　空橋 ナオト    https://twitter.com/Sorahashi_Naoto　堕落ぴて    https://twitter.com/pipipi_te　H!B!K!    https://twitter.com/hibiki1999601　兎迷夢々    https://twitter.com/tomayoimumu　とこう    https://twitter.com/tok0u　あげは    https://twitter.com/ageage_kaza　cell    https://twitter.com/CellYT5　laftclen    https://twitter.com/LAFTCLEN　篠宮≒クラゲ    https://twitter.com/kurage2423　Sogi-T    https://twitter.com/sogi_ton😈 OP楽曲制作✨　西野将哉    https://x.com/nishino_masaya😈OP映像制作✨　aco　https://twitter.com/4jyu9😈アタック映像制作✨　ポン酢    https://twitter.com/poponzu1125- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖°　　💬LINEスタンプもでた余！🎨　　https://line.me/S/sticker/23278776　　🌟 百鬼あやめ　3rdオリジナル楽曲「かわ世」🌟 　　▼購入はコチラから！　　　https://cover.lnk.to/Kawayo- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖°　　🌸 Twitter　@nakiriayame　　　https://twitter.com/nakiriayame　　💬メンバーシップ特典✨　　　https://www.youtube.com/channel/UC7fk0CB07ly8oSl0aqKkqFg/join　　❔メンバーって何が出来るの❔　　　.∘チャンネルオリジナルスタンプが使える余！　　　.∘毎月壁紙を配布してる余！　　　.∘メンバー限定放送が視聴可能！🎧　　　.∘不定期で映画鑑賞やASMR放送🎙- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖°　　🌸 1st original「宵の余、良い！」　　　https://cover.lnk.to/YoinoYoYoi　　　▼MV　　　https://youtu.be/ECkxzFgbJqQ　　🌸 2nd original「夢花火」　　　https://cover.lnk.to/YumeHanabi　　　▼MV　　　https://youtu.be/irMD1KMIYE4　　🌸 3rd original「かわ世」　　　https://cover.lnk.to/Kawayo　　🌸歌ってみたリスト　　　https://www.youtube.com/playlist?list=PL7EFb7T-o_1O4fE4frYhWI4toIh8q5LWH- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖° 　　😈余との約束事　　　.∘配信中や待機所での過度なおしゃべりは控えてください！　　　.∘コメントでの攻撃的な言葉や喧嘩はしない！　　　.∘荒らしコメントや攻撃的なコメントは見つけてもスルー！　　　（運営さんや余が対処する余！😉 ）　　　.∘同じコメントをずっと連投するのは控えてね　　配信ではリスナーの人間様と余が楽しめる温かい場を大切にしています！　　皆が気持ちよく楽しめるようご協力よろしくお願いします！🥰✨ 　　😈Your Promise with Ayame😈　　　.∘ Please refrain from excessive chatter waiting for, and even during, streams.　　　.∘No offensive language or fighting in the comments!　　　.∘Ignore trolls and/or offensive comments! 　　　（Management and I will deal with them！😉 ）　　　.∘Refrain from spamming the same comment.   　　　 I would like to create a friendly place where human listeners and I can enjoy 　　　　　　　　　　　　　each other's company.！    　　Help create a pleasant and enjoyable experience for all!🥰✨　　😈和余的约定😈　　　.∘请不要在直播和待机的时候过度发言！　　　.∘请不要吵架和使用攻击性的发言！　　　.∘如果发现令人不悦和攻击性发言请无视就好！  　　　（运营和余之后会处理哟！😉 ）　　　.∘请不要进行多次重复发言，珍惜人间大人和余能一起享受快乐的直播间！    　　为了大家能够一起开心，非常感谢您的配合！🥰✨　　※ホロライブプロダクションから未成年の視聴者の方々へのお願い　　下記リンクをご確認の上、お楽しみください。　　　https://www.hololive.tv/request-to-minors- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - - - - -- - - - - - - - - - - - - - -ഒ˖°"
