video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"quRp4RTfqTI","Редкий авто брошен на 9 лет в огороде. Оживляем древний Додж","2023-12-14T13:00:47Z","UCbhggnCHlPJQVkIzmfCJUXw","Ильдар Live","22","23.14.12","эльдар|лайф|лайв|лаиф|лаив|live|laif|life|эльдпр|ильдар|ильдпр|авто|бодбор|подбор|додж|dodge|лет|династия|династи|dynasty|старая|древняя|машина|оживление|ремонт|починить|v6|в огороде|американская|осциллограф|Олег|американец|АП|сервис|тачка|старинная|не|заводится|мотор|двигатель","878111","69832","0","2668","https://i.ytimg.com/vi/quRp4RTfqTI/default.jpg","False","False","Сегодня у нас старый американец: Dodge Dynasty. Автомобиль был куплен владельцем еще в далеком 2002 году. И с тех пор находится в одних руках. Все было хорошо, пока 9 лет назад он не сломался. Да так, что до сих пор никто не может его починить.Мы не смогли остаться в стороне и решили помочь Алексею и его Доджу :)Основной канал: https://www.youtube.com/c/quattro882Ильдар Live это официальный канал группы компаний АП. Работаем c 2013 года. По всей России. Чем мы можем Вам помочь:✔ Подбор автомобилей с гарантией. Проверка по 105 пунктам. Экспертиза, оценка авто: https://podbor.org✔ Страхование по всей России ОСАГО/КАСКО: https://ins.podbor.org✔ Автосервис. Ремонт, обслуживание авто в Москве: https://service.podbor.org✔ Вкуснейший натуральный Мёд с пасеки моего отца: https://honey.podbor.org✔ Хочешь работать в нашей компании? Го сюда: https://job.podbor.orgДля тех, кто хочет поддержать наш Благотворительный проект: https://podbor.org/charity/Обращайтесь! Мы всегда Вам рады!"
"gd1G9wrujb4","Братику подарили айфон 15 #shorts #iribaby","2023-12-14T11:41:00Z","UCsaCuCnU5J-NZh0hYCtIoFQ","IRIBABY","24","23.14.12","[none]","583404","27898","0","49","https://i.ytimg.com/vi/gd1G9wrujb4/default.jpg","False","False",""
"h8shfx7vNbE","бесплатный банк на колесах -раздаем деньги, помогли бедной бабушке","2023-12-14T07:45:09Z","UCjm6XUTNSz8Q68WqJIMJ0eQ","ABRACADABRA TV","29","23.14.12","бесплатный банк для людей|бесплатный банк|открыл бесплатный банк|открыл бесплатный банк в деревне|раздаю деньги|банк|раздали деньги людям|бесплатный банк с деньгами|деньги|социальный эксперимент|соц эксперимент|abracadabra|абракадабра тв|благотворительность|реакция|добрые дела|абрабанк|ПОСТРОИЛ СВОЙ БАНК В ДЕРЕВНЕ|БЕСПЛАТНЫЕ ДЕНЬГИ|ABRA BANK|ABRABANK|РАЗДАЛ ВСЕ ДЕНЬГИ|ПОСТРОИЛИ БЕСПЛАТНЫЙ БАНК|ОДИССЕЙ|раздали|бесплатный банк на колесах|банк на колесах","1293815","109478","0","2048","https://i.ytimg.com/vi/h8shfx7vNbE/default.jpg","False","False","бесплатный банк на колесах -раздаем деньги, помогли бедной бабушке"
"r6RFzEA5Kv4","ЕГОР КРИД vs МИЛАНА ХАМЕТОВА ! БИТВА ТРЕКОВ ( Егорик , Tenderlybae , Viki Show , Камиль )","2023-12-14T12:01:57Z","UCW0m-ZQqxy4DgtiEZm7ryPg","KREED FAMILY","24","23.14.12","егорик|viki show|tenderlybae|камиль|vs|битва треков|егор крид|милана хаметова|музыка|реп|егор крид песни|егор крид клип|egor kreed|крид|егор крид клипы|kreed|премьера клипа|милана хаметова канал|милана хаметова лп|милана|хаметова|лп|егор шкред|егорик лига|tenderlybae лучшее|тендерлибае|tenderlybae песни|камиль и аминка|кикидо|сериал кикидо|вики шоу|популярный канал|популярный блогер|новое видео|блогер|батл треков|челлендж|challenge","409116","42837","0","3280","https://i.ytimg.com/vi/r6RFzEA5Kv4/default.jpg","False","False","Вся инфа про треки - https://t.me/egorkreedЕГОР КРИД vs МИЛАНА ХАМЕТОВА ! БИТВА ТРЕКОВ ( Егорик , Tenderlybae , Viki Show , Камиль )Новый формат на моем канале - Битва треков! И сегодня мы решим кто лучше напишет трек Я или Милана Хаметова! Дети или Взрослые! А помогать в этом нам будут  Егорик , Tenderlybae , Viki show , Камиль Kikido! Ставь лайк за такой челлендж! Милана Хаметова - https://www.youtube.com/@MilashaUmkaЕгорик - https://www.youtube.com/@EGORIK.SHKREDViki Show - https://www.youtube.com/@VikiShowTenderlybae - https://www.youtube.com/@tenderlybaesКамиль Kikido - https://www.youtube.com/@Kikido_Campus◆ ИНСТА - http://instagram.com/egorkreed◆ МОЙ ДИСКОРД - https://discord.gg/P8jBqe99M6◆ ВК - https://vk.com/egorkreed◆ ТИКТОК - https://www.tiktok.com/@egorkreed◆ СТРИМЫ  ТУТ - https://twitch.tv/egorkreed ◆ БУРМАЛДА - https://t.me/burmalkreedМузыкальный Канал - @kreed Канал с Нарезками - @kreedlive"
"5uN05brv7_I","Прямая линия и пресс-конференция Путина. Спецэфир с Котрикадзе и Монгайт","2023-12-14T13:56:50Z","UCdubelOloxR3wzwJG9x8YqQ","Телеканал Дождь","25","23.14.12","дождь|телеканал дождь|новости|политика","465681","16427","0","1180","https://i.ytimg.com/vi/5uN05brv7_I/default.jpg","False","False","Мы собираем новости из городов России. Расскажите нам о том, что происходит в вашем регионе. Безопасно это можно сделать по почте newsrussia@proton.me и в Телеграме: https://t.me/tvrainalert_bot Россиянам ограничивают доступ к правде, но вместе мы сможем пробить информационную блокаду.14 декабря в 12.00 по мск пройдет прямая линия и пресс-конференция Владимира Путина. В последний раз оба мероприятия проходили в 2021 году, в 2022 после вторжения России в Украину их было решено не проводить.Ведущие спецэфира Дождя Екатерина Котрикадзе и Анна Монгайт.Что внутри:00:00 Анонс 09:12 Начало пресс-конференции 18:47 Будет ли вторая волна мобилизации?01:51:26 Путин про Баязитову. «Охота на ведьм»02:26:12 Возможен ли обмен Эвана Гершковича02:43:09 «Сколько я себя помню, вы всегда у власти»03:22:14 Двойник Путина о двойниках04:12:44 Михаил Фишман о пресс-конференции Путина04:29:32 Рубен Ениколопов Поддержите нас донатами, если вы не в России: https://tvrain.tv/donate• Следите за главными новостями и новыми выпусками в Telegram: https://t.me/tvrain• Подписывайтесь на нас в Instagram: https://www.instagram.com/tvrain/• Читайте нас в Twitter (X): https://twitter.com/tvrainДождь собирает информацию о детях из Украины в учреждениях, санаториях, лагерях, приемных семьях в России. Пишите на deti@tvrain.tv и в Telegram https://t.me/tvrainalert_botРеклама: https://t.me/sales_tvrain_bot#новости #россия #путин Программа: СпецэфирТип: полный выпускВедущие: Котрикадзе, Монгайт"
"04ZdnlLxnZg","На вкус и, как говорится, цвет…","2023-12-13T07:44:53Z","UC8Uvvf9XC9BgbfSK0Q24GDw","Янчик","10","23.14.12","[none]","1905376","247372","0","802","https://i.ytimg.com/vi/04ZdnlLxnZg/default.jpg","False","False",""
"1woqsoMtqac","Домер не может поверить в 5.000.000 подписчиков на Канале #домер #майнкрафт #minecraft #троллинг","2023-12-13T12:12:08Z","UCb5oqCZ4AfmfXbgHsfei0tQ","Domer Grief","20","23.14.12","Домер|Домер Гриф|Domer|Domer Grief|Домер клип|Домер новый год песня|домер 5 милионов|домер клип на 5 миллионов|реакция|shorts|домер новое|домер трек на 5 миллионов|домер песня|домер музыка|Реакция Домера на 5.000.000 подписчиков|прикол|мем|майнкрафт|ютубер|майнкрафтер|minecraft|стрим|стример|домер стрим на 5 миллионов|домер новый год трек|домер новый год клип|огород домера","1619984","173279","0","2498","https://i.ytimg.com/vi/1woqsoMtqac/default.jpg","False","False","👉 Подписчики решили затроллить Домера, когда тот был готов встречать юбилей в 5.000.000 подписчиков на канале - цифра на счетчике внезапно начала уменьшаться. Но счетчик снова пошел вверх и Domer Grief не смог скрыть своей эмоциональной реакции, заплакав перед аудиторией хулиганов, а также анонсировал юбилейный ролик на 5 миллионов, которым по слухам может оказаться Новогодний Трек, но это не точно...👕 Мой мерч - https://domermarket.com/🌸Мой канал в Telegram: https://t.me/DomerGrief⚡IP МОЕГО СЕРВЕРА ( Cнимал тут ): MC.REALLYWORLD.RU ⚡Для тех кто из Украины, у которых не заходит - mc.reallyworld.me⚡Купить донат: http://reallyworld.ru ⚡️ReallyWorld группа: https://vk.com/reallyworlds⚡️ReallyWorld Телега: https://t.me/rwinfo💛Я в VK: https://vk.com/skamyshnikov 💛Мой Instagram: https://www.instagram.com/_domer_/ 💛Мой Тик-Ток: https://www.tiktok.com/@mrdomer👍Моя группа в вконтакте : https://vk.com/Domer_Channel 👍Мой сервер в дискорде: https://discordapp.com/invite/domergrief👍По поводу рекламы: domer.sponsor@gmail.com★Наберем 100.000 ♥?"
"OIZMH9p9cvQ","ПЕРВАЯ ВСТРЕЧА ВАСЬКИ С МАЛЫШОМ! Выписка Кукояк","2023-12-13T15:13:34Z","UC6C-BeIrdfwhuUVpA_s9mcg","Денис Кукояка","22","23.14.12","влог денис кукояка|лена кукояка|кукояка|влог|кукояки|денис кукояка влог|семья кукояк влог|семейный влог|кукояки влог|влог кукояка|влог кукояки|семья кукояки|семья кукояк|влог с семьей|кукояка влог|кукояка василиса|кукояка вася|кукояка денис|денис кукояка|василиса кукояка|вася кукояка|семейные влоги|влоги|ежедневные влоги|влоги каждый день|влог каждый день|семья|васька кукояка|семья кукояки влог|василиса кукояка влог|vlog","1416592","77968","0","2812","https://i.ytimg.com/vi/OIZMH9p9cvQ/default.jpg","False","False","Если видите это – пора покупать подарки по низким и зелёным ценам на Яндекс Маркете: https://bit.ly/4a7Pe3aРеклама. ООО «ЯНДЕКС». ИНН: 7736207543. erid: 2Vtzqvjpz7dВ этом видео состоялась долгожданная выписка из роддома! Как прошла первая встреча Васьки и друзей семьи Кукояк с малышом? Смотрите в этом влоге.Роды в Лапино были нашей мечтой и она сбылась! Спасибо большое, Лапино, лучшие люди в лучшем месте!!!!https://instagram.com/lapinomed?igshid=NzZlODBkYWE4Ng==Мастерская Волшебства ❤️https://mvorg.ru/Новый мерчhttp://kukoyaka.com/VK Кукоякhttps://vk.cc/ct7EbZТелеграм Денаhttps://t.me/kukoyakaТелеграм где Лена оч оч оч общается с вамиhttps://t.me/PanarinkaСемейный тикток:https://vm.tiktok.com/ZSJNswShn/​​​deniskukoyaka@gmail.com"
"dVQ2bhPrDd0","Карим VS Армеец—РЕВАНШ ГОДА! Хадис VS Гаджи. Эль Пантера VS Диаз. Конор. Золотой VS Агрессор. НОКАУТ","2023-12-14T09:30:02Z","UCJTBRN07wXXuUNZ722TtQYg","HFC MMA","17","23.14.12","хардкор|hardcore|hardcorefighting|мма|попмма|топдог|ufc|mma|bareknuckle|bkfc|трешток|драки|смешанные единоборства|кулачные бои|германский|бои|хардкор мма|бои поп мма|голые кулаки|hardcoreboxing|hardcore fighting championship|HFC MMA|хардкококор|кипиш|конфликт|нокаут|сульянов|сафонов|карим|мадрахимов|Фазлиддин|афелия|варан|рамазан|асильдеров|золотой|андийский|пантера|гаджиев|заур|диаз|долов|армеец|климов|Гаджи|автомат|наврузов|конор|надратовский|хадис|ибрагимов|аслан бижоев","741230","30600","0","9570","https://i.ytimg.com/vi/dVQ2bhPrDd0/default.jpg","False","False","OLIMPBET, генеральный партнер HFC MMA, страхует новых клиентов на 100% и возвращает им до 10 000 рублей. Переходи в закрепе, активируй промокод HARD и получай бонус 500 рублейОфициальный партнер Hardcore Media – VK. Скачивайте новое приложение VK Видео: https://trk.mail.ru/c/o8lj47?mt_sub1=...Подписывайтесь на сообщество HFC MMA, чтобы не пропустить прямые трансляции наших турниров и эксклюзивные выпуски в сервисе VK Видео: https://vk.com/hfcmmaЗнакомьтесь в Twinby. Ссылка на скачивание приложения👇🏼https://twinby.net/46uiiQAVIATTI – шины мирового уровня. Мы вернем деньги или заменим вам шины, вышедшие из строя из-за эксплуатационных дефектов до 1 января 2024 года:https://www.viatti.ru/ru/?utm_source=hardcore_genius&utm_medium=tourney_code&utm_campaign=special_projectGorilla Energy – дай свободу своей энергии: https://gorillaenergy.com/Помочь семье Фазлиддина «Карима» Мадрахимова: 4276 6600 2932 2179 (Майрамбу Пировна М., Сбербанк)🔥Фазлиддин «Карим» Мадрахимов VS Дмитрий «Армеец» Климов – ИСТОРИЧЕСКАЯ РАЗВЯЗКА ГЛАВНОГО РЕВАНША ГОДА🔥Хадис Ибрагимов VS Гаджи Автомат – бою лучших друзей быть?… 🔥Заур «Эль Пантера» Гаджиев VS Ратмир «Заяц» Долов – рейтинговый бой🔥Сибирский Конор ворвался в октагон. КОНФЛИКТ сразу с двумя бойцами!🔥Рамазан «Золотой» Асильдеров VS Артур «Агрессор» Селимов – ЛЮТЫЙ НОКАУТ! 🔥Раха Андийский VS Фархат «Правда» – ШОУ от двух молодых проспектов🎙️Хадис Ибрагимов, актер Аслан Бижоев и Алексей Сафонов на комментаторской PRIDE UNITED — спорт для каждого: https://pride-fitness.ru Обеспечение порядка на своих ивентах доверяем Легион Security: https://legion-security.ru/Как попасть в HARDCORE VIP CLUB: https://clck.ru/35K2KSСтать партнером Hardcore Media: partnership@hardcorefc.ruЗаписаться в рубрику «Трибуна» для острых вопросов: https://t.me/hfcmma_botInst HFC MMA: https://instagram.com/hardcorefc_mmaHARDSHOW: https://youtube.com/@hardshow01HardNews: https://youtube.com/c/HardNews1#HFCMMA #HardcoreFighting #Хардкор00:00 – Заряженная атмосфера HFC MMA03:15 – Хадис против Гаджи Автомата. Бою лучших друзей быть?…07:04 – Агрессор VS Золотой – ЭТО. БЫЛО. КРАСИВО.18:54 – Раха Андийский VS Фархат Правда – ШОУ от харизматичных дебютантов50:12 – Эль Пантера VS Диаз56:58 – Вызов Конору – Конор АТАКУЭЙШН!1:09:34 – Победители розыгрыша OLIMPBET в октагоне1:16:20 – Карим VS Армеец – РЕВАНШ ГОДА, ПЕРЕПИСАВШИЙ ИСТОРИЮTrack: Siedlecky - GrozaMusic provided by Beast TrapWatch:    • Siedlecky - Groza...  Free Download/Stream: https://hypeddit.com/link/g02j0pTrack: DILIFA-Broken StarMusic provided by Beast TrapWatch:  • DILIFA - Broken Star | No Copyright 🔥  Spotify: https://open.spotify.com/track/6Z42bX...Free Download/Stream: https://hypeddit.com/beasttrap/dilifa...Track: DILIFA - KatanaMusic provided by Beast TrapWatch: • DILIFA - Katana | No Copyright 🔥  Free Download/Stream: https://hypeddit.com/link/tsj2s1Track: djMLZIN - AvalancheMusic provided by Beast TrapWatch: • djMLZIN - Avalanche | Copyright Free  Spotify: https://open.spotify.com/album/6I114R...Free Download/Stream: https://release.studio/avalancheTrack: Deafmind - Trvp Or Die [VIP] [Magic Release]Music Provided By: Magic RecordsListen To The Original: https://bit.ly/2F1KIUmFanlink: https://fanlink.to/FZ6Track: FutureVille - BarrierMusic provided by Beast TrapWatch: • FutureVille - Barrier | Copyright Free 😈  Free Download/Stream: https://hypeddit.com/link/rw0h7tTrack: MBEAT MUSIC - Run The TrapMusic provided by Beast TrapSpotify: https://open.spotify.com/track/0sFynH...Free Download/Stream: https://hypeddit.com/beasttrap/runthe...Track:  Godmode & Strybo & RVPTR - Ares Music Provided by Magic RecordsListen To The Original: • Godmode & Strybo & RVPTR - Ares (Magi...  Free Download:  https://fanlink.to/hpUwUsage Policy: http://www.magicmusicLLC.comTrack: Vâsstian & Candysio - MAZEMusic provided by Beast TrapWatch:  • Vâsstian & Candysio - MAZE | No Copyr...  Spotify: https://open.spotify.com/track/61Q30v...Free Download/Stream: https://hypeddit.com/beasttrap/maze1Song: Aliaksei Yukhnevich - Deliverance (No Copyright Music)Music provided by Tunetank.Free Download: https://bit.ly/3gvnKssVideo Link: • Aliaksei Yukhnevich - Deliverance (Hy..."
"pFyjPlIvnD0","Lp. Тринадцать Огней #83 ПОСЛЕДНИЙ ОГОНЬ • Майнкрафт","2023-12-14T12:00:46Z","UCAvrIl6ltV8MdJo3mV4Nl4Q","MrLololoshka (Роман Фильченков)","20","23.14.12","Лололошка|Lololoshka|MrLololoshka|Летсплей|Сборка|Скачать|Магия|Моды|Майнкрафт|Minecraft","835250","129851","0","6985","https://i.ytimg.com/vi/pFyjPlIvnD0/default.jpg","False","False","В этой серии мы сделали это! ПОСЛЕДНИЙ ОГОНЬ У нас... Отправляемся!Плейлист сезона: https://www.youtube.com/playlist?list=PLpYwltiByWUvXJN6xPCufs9P6LbrEJMEz👽 Мой Мерч: https://mirohodec.ru/ (Доставка в любую точку России и не только)Привет! Добро пожаловать на самую первую сборку и сезон с сюжетом на версии 1.19.2. Эксклюзивные, интересные моды, целых 17 новых механик (которые раскроются в течении всего сезона), продуманный сюжет, ну и конечно же, затягивающая запутанная история... Всё это в сезоне Тринадцать Огней. Нас ждут новые приключения, знакомства, загадки, Египет и многое другое. Большая просьба, не забудь ПОДПИСАТЬСЯ и ПОСТАВИТЬ ЛАЙК, это огромная мотивация для всей команды. Мы правда стараемся... Надеемся это заметно!• Магазинчик Лололошки: https://lololoshkashop.net/goods/minecraft-sajtСнимаем тут: http://streamcraft.net/launcherМой ВК: https://vk.com/mrlololoshkaТвой арт на превьюшку скидывать сюда: https://vk.com/album-39408465_287365287?rev=1Инстаграм: https://www.instagram.com/lololoshkause/"
